Temperature,Formula,ZT
350,Pb0.7Mn0.3Te1Na0.04,0.2762527050536484
400,Pb0.7Mn0.3Te1Na0.04,0.4200501873374674
450,Pb0.7Mn0.3Te1Na0.04,0.5638969698034
500,Pb0.7Mn0.3Te1Na0.04,0.6899887287202079
550,Pb0.7Mn0.3Te1Na0.04,0.7997021900608572
600,Pb0.7Mn0.3Te1Na0.04,0.8972872686373159
650,Pb0.7Mn0.3Te1Na0.04,0.9871012020335967
700,Pb0.7Mn0.3Te1Na0.04,1.1173125045814305
350,Pb0.98Na0.02Te1ISW,0.1785939521677423
400,Pb0.98Na0.02Te1ISW,0.3225912456638284
450,Pb0.98Na0.02Te1ISW,0.5111274526341893
500,Pb0.98Na0.02Te1ISW,0.7302383981721018
550,Pb0.98Na0.02Te1ISW,0.9740441290286076
600,Pb0.98Na0.02Te1ISW,1.2372132516857597
650,Pb0.98Na0.02Te1ISW,1.5071807498996903
700,Pb0.98Na0.02Te1ISW,1.7590601254034857
750,Pb0.98Na0.02Te1ISW,1.954098168748542
350,Pb1Te1Na0.04,0.1674351649884775
400,Pb1Te1Na0.04,0.3008375199277063
450,Pb1Te1Na0.04,0.4924990276936674
500,Pb1Te1Na0.04,0.7150008951020617
550,Pb1Te1Na0.04,0.9413382166317292
600,Pb1Te1Na0.04,1.152910143728204
650,Pb1Te1Na0.04,1.3383781426597634
700,Pb1Te1Na0.04,1.4955055314057322
300,Pb1Te0.88S0.12,0.598908829079483
350,Pb1Te0.88S0.12,0.8986548487315638
400,Pb1Te0.88S0.12,1.0055825700747745
450,Pb1Te0.88S0.12,1.0746640851944929
500,Pb1Te0.88S0.12,1.0995389779739542
550,Pb1Te0.88S0.12,1.0548073957588675
600,Pb1Te0.88S0.12,0.9283226972073324
650,Pb1Te0.88S0.12,0.7513443860030076
700,Pb1Te0.88S0.12,0.5830428871181903
750,Pb1Te0.88S0.12,0.4754891384649582
350,Pb1.00075Zn0.01Te1.01I0.0015,0.1813678385394514
400,Pb1.00075Zn0.01Te1.01I0.0015,0.2749591148865632
450,Pb1.00075Zn0.01Te1.01I0.0015,0.3917217790753075
500,Pb1.00075Zn0.01Te1.01I0.0015,0.5185571450956129
550,Pb1.00075Zn0.01Te1.01I0.0015,0.6446120483898204
600,Pb1.00075Zn0.01Te1.01I0.0015,0.7620529189314289
350,Pb0.97Ce0.03Te1,0.2864294112849884
400,Pb0.97Ce0.03Te1,0.3763572568414764
450,Pb0.97Ce0.03Te1,0.4698399322433464
500,Pb0.97Ce0.03Te1,0.551790418557512
550,Pb0.97Ce0.03Te1,0.6063428080222681
600,Pb0.97Ce0.03Te1,0.6258722867968656
650,Pb0.97Ce0.03Te1,0.6155751320152304
350,Pb0.999La0.001Te1,0.305316516165706
400,Pb0.999La0.001Te1,0.389612978289931
450,Pb0.999La0.001Te1,0.4813614065941278
500,Pb0.999La0.001Te1,0.5791965566306667
550,Pb0.999La0.001Te1,0.6762888242567964
600,Pb0.999La0.001Te1,0.7595359363901487
650,Pb0.999La0.001Te1,0.8112007629120045
700,Pb0.999La0.001Te1,0.8151496725196556
